NO_OF_FRAMES	1200
NO_OF_CAMERAS	7
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-30, 12:59:36	3231.27037116
DATA_INCLUDED	3D
MARKER_NAMES	HIP	KNEE	ANKLE
Frame	Time	HIP X	HIP Y	HIP Z	KNEE X	KNEE Y	KNEE Z	ANKLE X	ANKLE Y	ANKLE Z	
197	0.82083	766.793	802.998	851.596	776.785	828.585	430.412	788.088	885.538	106.977
198	0.82500	766.864	802.956	851.569	776.797	828.592	430.358	787.944	885.716	106.739
199	0.82917	766.794	802.976	851.542	776.756	828.493	430.383	788.139	885.548	106.822
200	0.83333	766.787	802.976	851.593	776.774	828.496	430.425	787.946	885.650	106.745
201	0.83750	766.771	802.896	851.557	776.808	828.476	430.368	788.034	885.625	106.885
202	0.84167	766.821	803.003	851.561	776.763	828.501	430.374	787.961	885.656	106.835
203	0.84583	766.791	802.948	851.570	776.743	828.525	430.372	788.032	885.622	106.809
204	0.85000	766.740	802.769	851.607	776.727	828.382	430.393	787.959	885.578	106.828
205	0.85417	766.761	802.849	851.611	776.727	828.451	430.435	788.047	885.367	107.054
206	0.85833	766.703	802.818	851.576	776.707	828.386	430.374	788.159	885.521	106.887
207	0.86250	766.709	802.784	851.548	776.763	828.442	430.389	787.980	885.556	106.883
208	0.86667	766.716	802.715	851.597	776.742	828.429	430.409	787.990	885.436	106.995
209	0.87083	766.686	802.706	851.508	776.715	828.445	430.441	788.017	885.534	106.827
210	0.87500	766.685	802.686	851.581	776.709	828.459	430.347	788.075	885.431	107.009
211	0.87917	766.684	802.651	851.600	776.708	828.403	430.368	788.026	885.505	106.917
212	0.88333	766.697	802.667	851.576	776.702	828.390	430.469	788.036	885.483	106.881
213	0.88750	766.712	802.598	851.595	776.727	828.442	430.395	788.080	885.479	107.001
214	0.89167	766.716	802.602	851.569	776.702	828.496	430.450	787.969	885.509	106.842
215	0.89583	766.703	802.609	851.550	776.686	828.434	430.449	788.033	885.429	106.840
216	0.90000	766.713	802.569	851.586	776.689	828.330	430.394	787.968	885.501	106.909
217	0.90417	766.672	802.595	851.583	776.675	828.348	430.391	788.054	885.474	106.966
218	0.90833	766.704	802.484	851.650	776.663	828.403	430.525	787.996	885.428	106.902
219	0.91250	766.685	802.474	851.590	776.655	828.364	430.417	788.013	885.477	106.834
220	0.91667	766.656	802.493	851.570	776.665	828.420	430.469	788.010	885.511	106.989
221	0.92083	766.577	802.418	851.582	776.667	828.336	430.442	787.991	885.500	106.911
222	0.92500	766.611	802.378	851.594	776.606	828.305	430.395	788.069	885.483	106.862
223	0.92917	766.597	802.386	851.543	776.617	828.407	430.400	788.035	885.318	107.090
224	0.93333	766.520	802.305	851.631	776.593	828.401	430.477	788.040	885.416	106.962
225	0.93750	766.587	802.367	851.564	776.578	828.334	430.478	787.982	885.385	106.945
226	0.94167	766.555	802.249	851.588	776.552	828.330	430.445	787.992	885.465	106.976
227	0.94583	766.556	802.302	851.578	776.574	828.327	430.466	788.091	885.303	107.047
228	0.95000	766.522	802.342	851.579	776.606	828.335	430.543	787.972	885.368	107.008
229	0.95417	766.536	802.300	851.646	776.563	828.277	430.443	787.893	885.491	106.841
230	0.95833	766.475	802.185	851.621	776.540	828.332	430.492	788.056	885.539	106.842
231	0.96250	766.470	802.295	851.653	776.573	828.281	430.441	787.975	885.523	106.924
232	0.96667	766.481	802.204	851.599	776.504	828.289	430.460	787.974	885.478	106.894
233	0.97083	766.434	802.210	851.605	776.492	828.349	430.452	787.943	885.469	106.919
234	0.97500	766.438	802.210	851.643	776.573	828.279	430.425	788.043	885.473	106.975
235	0.97917	766.417	802.172	851.610	776.541	828.303	430.479	788.033	885.518	106.954
236	0.98333	766.385	802.189	851.627	776.475	828.327	430.470	788.041	885.402	107.062
237	0.98750	766.435	802.086	851.679	776.490	828.317	430.441	787.944	885.502	107.005
238	0.99167	766.403	802.198	851.615	776.485	828.356	430.439	787.933	885.395	106.997
239	0.99583	766.371	802.070	851.595	776.432	828.246	430.481	787.856	885.590	106.831
240	1.00000	766.315	802.050	851.598	776.475	828.326	430.432	787.969	885.454	107.001
241	1.00417	766.348	802.047	851.650	776.498	828.340	430.501	788.010	885.423	106.995
242	1.00833	766.375	802.032	851.591	776.414	828.251	430.483	787.977	885.553	106.823
243	1.01250	766.338	802.000	851.645	776.443	828.211	430.472	787.930	885.417	107.016
244	1.01667	766.262	801.946	851.604	776.405	828.222	430.468	787.886	885.563	106.890
245	1.02083	766.305	801.899	851.643	776.428	828.263	430.529	787.975	885.335	107.080
246	1.02500	766.282	801.998	851.591	776.475	828.243	430.471	788.027	885.359	107.063
247	1.02917	766.297	801.902	851.652	776.428	828.200	430.482	787.978	885.309	107.064
248	1.03333	766.271	801.856	851.659	776.348	828.114	430.501	787.980	885.410	106.989
249	1.03750	766.292	801.917	851.643	776.440	828.201	430.565	787.879	885.346	107.064
250	1.04167	766.313	801.870	851.573	776.389	828.154	430.504	787.958	885.411	107.054
251	1.04583	766.267	801.810	851.627	776.418	828.131	430.549	787.952	885.317	107.037
252	1.05000	766.254	801.773	851.689	776.435	828.076	430.495	787.919	885.297	107.089
253	1.05417	766.263	801.769	851.659	776.431	828.070	430.485	787.988	885.426	106.940
254	1.05833	766.266	801.751	851.664	776.338	828.016	430.510	788.025	885.343	107.012
255	1.06250	766.316	801.786	851.618	776.361	828.025	430.530	787.919	885.366	107.029
256	1.06667	766.234	801.786	851.669	776.370	828.010	430.481	787.899	885.327	107.037
257	1.07083	766.245	801.755	851.622	776.343	827.989	430.498	787.917	885.406	106.988
258	1.07500	766.181	801.630	851.635	776.381	828.017	430.577	787.889	885.359	107.013
259	1.07917	766.208	801.698	851.594	776.365	828.085	430.496	787.924	885.371	107.054
260	1.08333	766.198	801.610	851.649	776.365	827.958	430.482	787.840	885.420	106.965
261	1.08750	766.268	801.678	851.611	776.370	828.025	430.498	787.942	885.412	107.050
